"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 08 16:41:23 UTC 2024","Thu Feb 08 16:41:23 UTC 2024","74","chromium","API/api_user.spec.js","","","","User login",""
"passed","Thu Feb 08 16:41:23 UTC 2024","Thu Feb 08 16:41:23 UTC 2024","172","chromium","API/api_contact.spec.js","","","","delete contact",""
"passed","Thu Feb 08 16:41:25 UTC 2024","Thu Feb 08 16:41:25 UTC 2024","272","chromium","API/api_user.spec.js","","","","User DELETE",""
"failed","Thu Feb 08 16:41:33 UTC 2024","Thu Feb 08 16:41:33 UTC 2024","30","chromium","E2E/ui_contact.spec.js","","","","delete contact",""
"passed","Thu Feb 08 16:41:23 UTC 2024","Thu Feb 08 16:41:23 UTC 2024","182","chromium","API/api_contact.spec.js","","","","get contact",""
"passed","Thu Feb 08 16:41:23 UTC 2024","Thu Feb 08 16:41:24 UTC 2024","121","chromium","API/api_user.spec.js","","","","User logout",""
"passed","Thu Feb 08 16:41:23 UTC 2024","Thu Feb 08 16:41:23 UTC 2024","212","chromium","API/api_user.spec.js","","","","update user",""
"failed","Thu Feb 08 16:41:37 UTC 2024","Thu Feb 08 16:41:37 UTC 2024","30","chromium","E2E/ui_user.spec.js","","","","test reg",""
"failed","Thu Feb 08 16:41:41 UTC 2024","Thu Feb 08 16:41:41 UTC 2024","30","chromium","E2E/ui_user.spec.js","","","","test login",""
"passed","Thu Feb 08 16:41:23 UTC 2024","Thu Feb 08 16:41:23 UTC 2024","65","chromium","API/api_user.spec.js","","","","User Registration bad e-mail",""
"passed","Thu Feb 08 16:41:22 UTC 2024","Thu Feb 08 16:41:23 UTC 2024","198","chromium","API/api_contact.spec.js","","","","add contact",""
"failed","Thu Feb 08 16:41:46 UTC 2024","Thu Feb 08 16:41:46 UTC 2024","30","chromium","E2E/ui_user.spec.js","","","","test logout",""
"passed","Thu Feb 08 16:41:23 UTC 2024","Thu Feb 08 16:41:23 UTC 2024","84","chromium","API/api_user.spec.js","","","","User Registration",""
"failed","Thu Feb 08 16:41:29 UTC 2024","Thu Feb 08 16:41:29 UTC 2024","30","chromium","E2E/ui_contact.spec.js","","","","test addcontact",""
